2020-07-08 02:21:18,092	INFO	Total steps: 8954046	Episode: 12900/630	Avg reward: 15.45	Avg steps: 636
2020-07-08 02:27:17,537	INFO	Total steps: 8966399	Episode: 12920/647	Avg reward: 15.10	Avg steps: 616
2020-07-08 02:33:29,698	INFO	Total steps: 8979108	Episode: 12940/621	Avg reward: 14.45	Avg steps: 634
2020-07-08 02:39:22,832	INFO	Total steps: 8991175	Episode: 12960/420	Avg reward: 15.65	Avg steps: 602
2020-07-08 02:45:47,836	INFO	Total steps: 9004294	Episode: 12980/688	Avg reward: 14.65	Avg steps: 654
2020-07-08 02:51:41,120	INFO	Total steps: 9016586	Episode: 13000/676	Avg reward: 13.50	Avg steps: 613
2020-07-08 02:57:22,086	INFO	Total steps: 9028397	Episode: 13020/575	Avg reward: 15.70	Avg steps: 589
2020-07-08 03:02:37,060	INFO	Total steps: 9039379	Episode: 13040/502	Avg reward: 16.60	Avg steps: 548
2020-07-08 03:08:36,756	INFO	Total steps: 9051917	Episode: 13060/543	Avg reward: 14.20	Avg steps: 625
2020-07-08 03:15:01,055	INFO	Total steps: 9064998	Episode: 13080/890	Avg reward: 14.00	Avg steps: 653
2020-07-08 03:21:15,491	INFO	Total steps: 9077685	Episode: 13100/496	Avg reward: 14.50	Avg steps: 633
2020-07-08 03:27:21,457	INFO	Total steps: 9090088	Episode: 13120/488	Avg reward: 14.55	Avg steps: 619
2020-07-08 03:33:25,313	INFO	Total steps: 9102321	Episode: 13140/527	Avg reward: 14.70	Avg steps: 610
2020-07-08 03:39:22,002	INFO	Total steps: 9114332	Episode: 13160/462	Avg reward: 15.80	Avg steps: 599
2020-07-08 03:45:48,145	INFO	Total steps: 9127265	Episode: 13180/770	Avg reward: 14.95	Avg steps: 645
2020-07-08 03:51:54,830	INFO	Total steps: 9139607	Episode: 13200/625	Avg reward: 13.95	Avg steps: 616
2020-07-08 03:57:35,402	INFO	Total steps: 9151167	Episode: 13220/796	Avg reward: 15.25	Avg steps: 577
2020-07-08 04:03:36,229	INFO	Total steps: 9163273	Episode: 13240/618	Avg reward: 15.40	Avg steps: 604
2020-07-08 04:09:07,522	INFO	Total steps: 9174406	Episode: 13260/557	Avg reward: 15.30	Avg steps: 555
2020-07-08 04:15:30,819	INFO	Total steps: 9187334	Episode: 13280/599	Avg reward: 14.20	Avg steps: 645
2020-07-08 04:21:38,370	INFO	Total steps: 9199700	Episode: 13300/594	Avg reward: 14.75	Avg steps: 617
2020-07-08 04:27:26,085	INFO	Total steps: 9211464	Episode: 13320/565	Avg reward: 14.85	Avg steps: 587
2020-07-08 04:33:05,298	INFO	Total steps: 9222929	Episode: 13340/602	Avg reward: 15.20	Avg steps: 572
2020-07-08 04:39:27,232	INFO	Total steps: 9235907	Episode: 13360/599	Avg reward: 14.55	Avg steps: 647
2020-07-08 04:44:58,952	INFO	Total steps: 9247129	Episode: 13380/452	Avg reward: 15.20	Avg steps: 560
2020-07-08 04:50:45,416	INFO	Total steps: 9258836	Episode: 13400/473	Avg reward: 15.35	Avg steps: 584
2020-07-08 04:57:08,023	INFO	Total steps: 9271847	Episode: 13420/741	Avg reward: 15.10	Avg steps: 649
2020-07-08 05:03:50,967	INFO	Total steps: 9285403	Episode: 13440/716	Avg reward: 13.00	Avg steps: 676
2020-07-08 05:10:34,105	INFO	Total steps: 9299268	Episode: 13460/727	Avg reward: 14.50	Avg steps: 692
2020-07-08 05:16:27,874	INFO	Total steps: 9311340	Episode: 13480/631	Avg reward: 15.45	Avg steps: 602
2020-07-08 05:22:12,274	INFO	Total steps: 9322988	Episode: 13500/522	Avg reward: 15.00	Avg steps: 581
2020-07-08 05:28:25,034	INFO	Total steps: 9335600	Episode: 13520/525	Avg reward: 14.40	Avg steps: 629
2020-07-08 05:34:44,539	INFO	Total steps: 9348358	Episode: 13540/593	Avg reward: 15.20	Avg steps: 636
2020-07-08 05:40:53,755	INFO	Total steps: 9360726	Episode: 13560/555	Avg reward: 14.80	Avg steps: 617
2020-07-08 05:46:45,993	INFO	Total steps: 9372491	Episode: 13580/542	Avg reward: 15.65	Avg steps: 587
2020-07-08 05:53:04,703	INFO	Total steps: 9385066	Episode: 13600/613	Avg reward: 14.80	Avg steps: 627
2020-07-08 05:59:03,633	INFO	Total steps: 9396979	Episode: 13620/548	Avg reward: 14.85	Avg steps: 594
2020-07-08 06:05:11,723	INFO	Total steps: 9409234	Episode: 13640/695	Avg reward: 15.50	Avg steps: 611
2020-07-08 06:11:51,893	INFO	Total steps: 9422586	Episode: 13660/627	Avg reward: 14.10	Avg steps: 666
2020-07-08 06:18:03,729	INFO	Total steps: 9435002	Episode: 13680/550	Avg reward: 16.25	Avg steps: 619
2020-07-08 06:24:26,480	INFO	Total steps: 9447836	Episode: 13700/517	Avg reward: 14.75	Avg steps: 640
2020-07-08 06:30:08,865	INFO	Total steps: 9459209	Episode: 13720/598	Avg reward: 15.75	Avg steps: 567
2020-07-08 06:36:08,051	INFO	Total steps: 9471152	Episode: 13740/603	Avg reward: 15.20	Avg steps: 596
